indicator,signal,horizon,direction,n_stocks,total_signals,avg_return,median_return,avg_win_rate,avg_t_stat,pct_stocks_positive
trend_mass_index,P80_short,fwd_5d,short,213,111781,0.46754037558685446,0.3987,56.6312676056338,2.0643286384976527,93.42723004694837
trend_mass_index,P90_short,fwd_1d,short,213,55895,0.10065821596244132,0.0972,53.0925352112676,0.570018779342723,80.75117370892019
trend_mass_index,P90_short,fwd_2d,short,213,55895,0.18790563380281688,0.174,54.97464788732395,0.8519107981220657,81.69014084507043
trend_mass_index,P90_short,fwd_3d,short,213,55895,0.2869516431924883,0.2612,55.46793427230047,1.0484553990610328,82.62910798122066
trend_mass_index,P90_short,fwd_5d,short,213,55895,0.4325272300469483,0.3774,56.60366197183099,1.2905023474178403,79.81220657276995
trend_psar_down,P10_long,fwd_1d,long,213,54849,0.23394600938967136,0.1684,53.620187793427235,1.6140657276995305,100.0
trend_psar_down,P10_long,fwd_2d,long,213,54849,0.469749765258216,0.3379,56.10830985915493,2.3135164319248824,100.0
trend_psar_down,P10_long,fwd_3d,long,213,54849,0.7089661971830986,0.5038,57.50446009389672,2.855131455399061,100.0
trend_psar_down,P10_long,fwd_5d,long,213,54849,1.1863154929577466,0.8519,59.67150234741784,3.76518779342723,100.0
trend_psar_down,P20_long,fwd_1d,long,213,110741,0.17177230046948355,0.1345,52.868685446009394,1.7209718309859154,100.0
trend_psar_down,P20_long,fwd_2d,long,213,110741,0.33992018779342725,0.263,54.91,2.4411596244131455,100.0
trend_psar_down,P20_long,fwd_3d,long,213,110741,0.5098544600938967,0.3928,56.057793427230045,3.0008591549295773,100.0
trend_psar_down,P20_long,fwd_5d,long,213,110741,0.8435784037558686,0.6378,57.725727699530516,3.9328779342723004,100.0
trend_psar_down,P80_short,fwd_1d,short,213,110887,-0.02576338028169014,-0.0269,50.72464788732395,-0.25990610328638497,28.638497652582164
trend_psar_down,P80_short,fwd_2d,short,213,110887,-0.04976009389671362,-0.0541,50.90267605633803,-0.36891079812206573,30.046948356807512
trend_psar_down,P80_short,fwd_3d,short,213,110887,-0.0709244131455399,-0.0827,50.73953051643193,-0.4214694835680751,30.985915492957744
trend_psar_down,P80_short,fwd_5d,short,213,110887,-0.12008544600938967,-0.1474,50.28413145539906,-0.5350093896713615,30.985915492957744
trend_psar_down,P90_short,fwd_1d,short,213,55059,-0.07031596244131455,-0.0702,49.74164319248826,-0.5131455399061032,23.943661971830984
trend_psar_down,P90_short,fwd_2d,short,213,55059,-0.13490610328638497,-0.1432,49.724037558685446,-0.6990610328638498,25.352112676056336
trend_psar_down,P90_short,fwd_3d,short,213,55059,-0.2005774647887324,-0.2136,49.35300469483568,-0.8200704225352113,25.821596244131456
trend_psar_down,P90_short,fwd_5d,short,213,55059,-0.3315286384976526,-0.3294,48.33521126760563,-0.9967042253521127,24.88262910798122
trend_psar_down_indicator,P80_short,fwd_1d,short,213,25986,0.03555727699530516,0.0608,52.387840375586855,0.28625821596244133,64.31924882629107
trend_psar_down_indicator,P80_short,fwd_2d,short,213,25986,0.09542582159624413,0.08,52.99408450704225,0.3570938967136151,62.91079812206573
trend_psar_down_indicator,P80_short,fwd_3d,short,213,25986,0.16920328638497653,0.1579,53.3118779342723,0.5570422535211268,72.76995305164318
trend_psar_down_indicator,P80_short,fwd_5d,short,213,25986,0.40793427230046947,0.3505,54.3931455399061,0.9152957746478874,83.56807511737088
trend_psar_down_indicator,P90_short,fwd_1d,short,213,25986,0.03555727699530516,0.0608,52.387840375586855,0.28625821596244133,64.31924882629107
trend_psar_down_indicator,P90_short,fwd_2d,short,213,25986,0.09542582159624413,0.08,52.99408450704225,0.3570938967136151,62.91079812206573
trend_psar_down_indicator,P90_short,fwd_3d,short,213,25986,0.16920328638497653,0.1579,53.3118779342723,0.5570422535211268,72.76995305164318
